Unique ID,Date Entered,Year,Model,Model Name,Nickname or Dial,Bracelet,Bracelet Metal/Color,Price,Full Set,Retail Ready,Current Retail (Not Inc Tax),Dealer,Comments
10051,4/11/2025,2024,126603,Seadweller,Black,Oyster,Oystersteel and Gold,14450,Y (inc WT),Needs Polish,19650,Gerald GTP (Moda Watch Club),plus shipping label
10052,3/12/2025,2023,336938,Skydweller,Black,Oyster,Yellow Gold,39500,Y (inc WT),Y - Hairlines,53400,East Coast TimePiece (Moda Watch Club),
10053,3/12/2025,2024,326933,Skydweller,Black,Jubilee,Oystersteel and Gold,19350,Y (No WT),Y,Discontinued,Nashville Watch,"Was 21,5000"
10054,3/26/2025,2022,326933,Skydweller,Black,Jubilee,Oystersteel and Gold,15000,Y (inc WT),N,Discontinued,Conrad Taylor (Rolex Group),
10055,4/2/2025,2022,326934,Skydweller,Black,Jubilee,Oystersteel,18100,Y (inc WT),Y,16400,AK Timepiece (Moda Watch Club),plus shipping label
10056,6/17/2025,2023,336934,Skydweller,Black,Jubilee,Oystersteel,21499,Y (No WT),Y,16800,Cici Watches (Rolex Group),Add 250 for box
10057,5/29/2025,2924,336933,Skydweller,Black,Jubilee,Oystersteel and Gold,19000,Y (No WT),Y,22450,Darren Ting (Moda Watch Club),Add 300 for Box plus Shipping
10058,5/14/2025,2023,326238,Skydweller,Black Dial (Yellow Gold Bezel),Oysterflex,Oysterflex and Yellow Gold,32750,Y (No WT),Y,Discontinued,Ziv Moyal (Moda Watch Club),"New reference is 47,100"
10059,5/20/2025,2022,326238,Skydweller,Black Dial (Yellow Gold Bezel),Oysterflex,Oysterflex and Yellow Gold,21000,Y (No WT),Y,Discontinued,Anthony Zhan (Moda Watch Club),
10060,3/24/2025,2025,336934,Skydweller,Blue,Jubilee,Oystersteel,23100,Y (inc WT),Y,16400,Khanh Doan (Moda Watch Club),
10061,3/25/2025,2025,336934,Skydweller,Blue,Jubilee,Oystersteel,22499,Y (inc WT),Y,16400,Faizan Ahmed (Moda Watch Club),
10062,4/1/2025,2025,336934,Skydweller,Blue,Jubilee,Oystersteel,22100,Y (inc WT),Y,16400,Khanh Doan (Moda Watch Club),
10063,4/14/2025,2025,336935,Skydweller,Blue,Jubilee,Rose Gold,60500,Y (inc WT),Y,57800,Kevin Chan (Moda Watch Club),
10064,5/12/2025,2023,326934,Skydweller,Blue,Jubilee,Oysterteel,21500,Y (inc WT),Y,16400,Rocky Sun (Moda Watch Club),plus shipping label
10065,3/12/2025,2024,336933,Skydweller,Champagne,Jubilee,Oystersteel and Gold,21000,Y (inc WT),Y,21500,Devin Anton (Moda Watch Club),
10066,4/30/2025,2023,336933,Skydweller,Champagne,Jubilee,Oystersteel and Gold,20500,Y (inc WT),Y,21500,Darren Ting (Moda Watch Club),
10067,3/11/2025,2025,336934,Skydweller,Green,Jubilee,Oystersteel,22900,Y (inc WT),Y,16400,Gerald Tan (Moda Watch Club),
10068,4/14/2025,2025,336934,Skydweller,Green,Jubilee,Oystersteel,20400,Y (inc WT),Y,16400,Khanh Doan (Moda Watch Club),Add 250 for Box plus Shipping
10069,3/6/2025,2022,326935,Skydweller,Rhodium,Oyster,Rose Gold,42500,Y (inc WT),Y,Discontinued,Jesse Cheng (Moda Watch Club),"Was 56,600"
10070,5/13/2025,2024,336933,Skydweller,White Dial,Jubilee,Oystersteel and Gold,21450,Y (No WT),Needs Polish,22450,Kevin Chan (Moda Watch Club),plus shipping label
10071,6/17/2025,2022,326938,Skydweller,White Dial,Jubilee,Yellow Gold,41999,Y (No WT),Y,Discontinued,Cici Watches (Rolex Group),
10072,3/11/2025,2023,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,15600,Y (inc WT),Y,17000,Randy Chong (Moda Watch Club),
10073,3/11/2025,2024,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,17700,Y (inc WT),Y,17000,Devin Anton (Moda Watch Club),
10074,3/24/2025,2024,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,16600,Y (inc WT),Y,17000,Kevin Chan (Moda Watch Club),
10075,3/27/2025,2024,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,16550,Y (inc WT),Y,17000,AK Timepiece (Moda Watch Club),
10076,4/2/2025,2024,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,15550,Y (inc WT),Y,17000,AK Timepiece (Moda Watch Club),plus shipping label
10077,5/27/2025,2019,116613LN,Submariner,Bumblebee,Oyster,Oystersteel and Gold,13550,Y (inc WT),Y,Discontinued,Anthony Zhan (Moda Watch Club),"New Reference is 17,600"
10078,5/27/2025,2024,126613LN,Submariner,Bumblebee,Oyster,Oystersteel and Gold,14500,Y (inc WT),Y,17600,John Sig (Moda Watch Club),
10079,6/9/2025,2024,126613LN,Submariner,Bumblebee,Oyster,Oystersteel and Gold,14800,Y (inc WT),Y,17600,Nick TLC (Moda Watch Club),plus shipping label
10080,3/25/2025,2024,126610LN,Submariner,Date,Oyster,Oystersteel,12800,Y (No WT),Y,10400,AJ Time Piece,
10081,3/25/2025,2024,126610LN,Submariner,Date,Oyster,Oystersteel,12300,Y (inc WT),Y,10400,Graham Moda (Moda Watch Club),
10082,4/2/2025,2024,126610LN,Submariner,Date,Oyster,Oystersteel,12250,Y (inc WT),Y,10400,AK Timepiece (Moda Watch Club),plus shipping label
10083,4/28/2025,2023,126610LN,Submariner,Date,Oyster,Oystersteel,10800,Y (inc WT),Y,10400,Anthony Capatosto (Rolex Group),
10084,3/25/2015,2020,116610LV,Submariner,Hulk,Oyster,Oystersteel,17400,Y (No WT),Y,Discontinued,AJ Time Piece,
10085,3/11/2025,2020,116610LV,Submariner,Hulk,Oyster,Oystersteel,18250,Y (inc WT),Y,Discontinued,Kamran Akbari (Moda Watch Club),Old Style Card
10086,3/11/2025,2019,116610LV,Submariner,Hulk,Oyster,Oystersteel,18800,Y (inc WT),Y,Discontinued,Yudi Twg (Moda Watch Club),Some Stickers
10087,4/23/2025,2025,124060,Submariner,No Date,Oyster,Oystersteel,11000,Y (inc WT),Y,9200,Khanh Doan (Moda Watch Club),plus shipping label
10088,6/13/2025,2025,124060,Submariner,No Date,Oyster,Oystersteel,10000,Y (inc WT),Y,9200,John Sig (Moda Watch Club),Add 300 for Box plus Shipping
10089,3/12/2025,2024,226658,YahtMaster,Yellow Gold Case (42mm),OysterFlex,Black and Yellow Gold Clasp,27500,Y (inc WT),Y,33500,Nick TLC (Moda Watch Club),42 MM plus add 250 for box
10090,6/17/2025,2025,226658,YahtMaster,Yellow Gold Case (42mm),OysterFlex,Black and Yellow Gold Clasp,33499,Y (inc WT),Y,33500,Cici Watches (Rolex Group),42 MM plus add 250 for box
10091,6/23/2025,2023,126333,Datejust,Back Stick Dial,Jubilee,Oystersteel and Gold,12000,Y (inc WT),Y,16100,Kevin GTimepiece,
10092,7/6/2025,2024,126718GRNR,GMT2,Guiness,Jubilee,Yellow Gold,37500,Y (No WT),Y,44600,Mike Mtime (Moda Watch Club),plus shipping label
10093,7/6/2025,2023,Speedmaster,Apollo 8,Dark Side of the Moon,Leather,Black,7500,Y,N,Discontinued,Benny Cloud (Moda Watch Club),Slight wear on Bracelot
10094,7/6/2025,2024,Speedmaster,Apollo 8,Dark Side of the Moon,Leather,Black,10650,Y,Y,14300,Mecko Kay (Moda Watch Club),plus shipping
10095,7/7/2025,2022,126720VTNR,GMT2,Sprite,Oyster,Jubilee,22000,Y (inc WT),Y,11850,Anthony Zhan (Moda Watch Club),
10096,7/6/2025,2024,226627,YahtMaster,Titanium,Jubilee,Titanium,"23,999",Y (inc WT),Y,15250,Cici Watches (Moda Watch Club),
10097,7/10/2025,2023,336933,Skydweller,Champagne,Jubilee,Oystersteel and Gold,17900,Y (inc WT),Y,21850,Gerald GTP (Moda Watch Club),plus shipping
10098,7/11/2025,2024,126333,Datejust,Yellow Gold Champagne Diamond Dial,Oyster,Oystersteel and Gold,14050,Y (No WT),Y,17350,Darwin VT (Moda Watch Club),plus shipping
10099,7/11/2025,2024,126613LB,Submariner,Bluesy,Oyster,Oystersteel and Gold,14950,Y (inc WT),Y,17600,Darwin VT (Moda Watch Club),plus shipping
10100,7/11/2025,2025,278384RBR,Lady Datejust,Purple Aubergine Diamond 6 Dial on Factory Diamond Bezel,Jubilee,Oystersteel,16850,Y (inc WT),Y,17900,Darwin VT (Moda Watch Club),plus shipping (missing 2 links)
10101,7/11/2025,2021,116500LN,Daytona,Panda,Jubilee,Oystersteel,25000,Y (No WT),Y,Discontinued,AJ Time Piece,plus shipping
10102,7/11/2025,2021,5167A,Aquanat,Sunburst charcoal gray,Steel Black Strap,Rubber,65600,Y,N,25958,AJ Time Piece,plus shipping (needs light polish)
10103,7/11/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,17600,Y (inc WT),Y,11300,AJ Time Piece,plus shipping
10104,7/11/2025,2024,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,18525,Y (No WT),Y,18500,Eni Zizolli (Moda Watch Club),
10105,7/14/2025,2023,4520V/210A-B128,Overseas,Stainless Steel Blue Dial,Stainless,Stainless steel (Polished/satin-finished),"25,700",Y,Y,26800,Mike Bolger (Moda Watch Club),Case 41mm
10106,7/14/2025,2025,126503,Daytona,Black Diamond Dial,Jubilee,Oystersteel and Gold,27500,Y (inc WT),Y,24250,Tanner Miller (Moda Watch Club),
10107,7/14/2025,2025,126334,Datejust,Blue Diamond Dial (Fluted Bezel),Jubilee,Oystersteel,16100,Y (inc WT),Y,13100,KD Timepiece (Moday Watch Club),plus shipping
10108,7/14/2025,2021,5990/1A-011,Nautilus,Sunburst blue-gray,Steel fold-over clasp,Steel,113000,Y,Y,73053,Tielly Sad (Moda Watch Club),40mm
10109,7/14/2025,2024,5905/1A-001,Complications,Sunburst olive green,Steel fold-over clasp,Steel,51000,Y,Y,68109,Tielly Sad (Moda Watch Club),Annual Calendar 42mm
10110,7/14/2025,2022,26735ST,Royal Oak,Rhodium Toned Skeleton,Steel fold-over clasp,Steel,269000,Y,Y,Not Listed,Tielly Sad (Moda Watch Club),50th Anniversary 41mm
10111,7/14/2025,2025,26674ST,Royal Oak,"blue ""Grande Tapisserie"" dial",Steel fold-over clasp,Steel,185000,Y,Y,114800,Tielly Sad (Moda Watch Club),41mm with perpetual calendar ?? and moon phase indicators
10112,7/14/2025,2024,RM35-03,Automatic Rafael Nadal,Skeletonised automatic-winding in Carbon TPT,Rubber,Carbon TPT,399000,Y,Y,Not Listed,Tielly Sad (Moda Watch Club),CALIBRE RMAL2
10113,7/14/2025,2022,116503,Daytona,White Dial,Oyster,Oystersteel and Gold,18650,Y,N,22250,Justin Andrew (Moda Watch Club),plus shipping (needs light polish)
10114,7/14/2025,2022,116518LN,Daytona,Yellow Gold Meteorite,Oysterflex,Oysterflex,75000,Y,N,41850,Justin Andrew (Moda Watch Club),plus shipping (needs light polish)
10115,7/14/2025,2024,126718GRNR,GMT2,Yellow Gold,Jubilee,Yellow Gold,43000,Y,Y,44600,Justin Andrew (Moda Watch Club),plus shipping
10116,7/15/2025,2025,126201,Lady Datejust,Mother of Pearl Diamond Dial,Jubilee,Oystersteel and Rose Gold,18200,Y,Y,17350,Gaavah Luxury (Moda Watch Club),plus shipping (36mm)
10117,7/15/2025,2023,116503,Daytona,Black Stick Dial (Black Chrono),Oyster,Oystersteel and Gold,19500,Y  (No Box),Y,Discontinued,Kevin Nathan (Moda Watch Club),"New Model  22,250"
10118,7/15/2025,2025,126233,Lady Datejust,Mother of Pearl Diamond Dial,Jubilee,Oystersteel and Gold,19000,Y,Y,17150,Mytime26 Watches,plus shipping (36mm)
10119,7/15/2025,2025,128238,Lady Daydate,Mother of Pearl Baguette Diamond Dial,President,Yellow Gold,48750,Y,Y,45800,Gaavah Luxury (Moda Watch Club),plus shipping (36mm)
10120,7/15/2025,2025,310.32.42.50.02.001,Speedmaster,Snoopy,Blue,Blue Nylon,14800,Y,Y,11200,Kevin Chan (Moda Watch Club),plus shipping
10121,7/15/2025,2025,228239,DayDate,Mother of Pearl Baguette Diamond Dial,President,White Gold,56500,Y,Y,53100,Sean Ash (Moda Watch Club),plus shipping
10122,7/15/2025,2025,5968R-001,Aquanat,Sunburst brown (Rose Gold Case),Rubber,Dark Brown (Rose Gold Clasp),126000,Y,Y,84549,Natan Lev (Moda Watch Club),plus shipping
10123,7/15/2025,2024,124060,Submariner,No Date,Oyster,Oystersteel,11600,Y (No WT),Y,9500,Kevin Chan (Moda Watch Club),plus shipping
10124,7/15/2025,2024,126503,Daytona,Black Diamond Dial (Gold Chronographs),Jubilee,Oystersteel and Gold,25000,Y,Y,24250,Randy Chong (Moda Watch Club),plus shipping
10125,7/15/2025,2025,126519LN,Daytona,"Baby Lemans (Back Dial, Silver Chrono, Red Daytona)",Oysterflex,Oysterflex,42000,Y,Y,39300,Randy Chong (Moda Watch Club),plus shipping
10126,7/15/2025,2024,116518LN,Daytona,Meteorite (Yellow Gold Case),Oysterflex,Oysterflex,75888,Y,Y,41850,KD Timepiece (Moday Watch Club),plus shipping
10127,7/15/2025,2025,126234,Lady Datejust,Wimbledon (Fluted Bezel),Jubilee,Oystersteel,12000,Y,Y,12100,Tms Watches (Moda Watch Club),plus shipping (36mm)
10128,7/15/2025,2021,126234,Lady Datejust,Pink Diamond XI VI,Jubilee,Oystersteel,13650,Y (No WT),Y,11900,Jake Koden (Moday Watch Club),plus shipping (36mm)
10129,7/15/2025,2022,128238,Lady Daydate,Mother of Pearl Diamond Dial,President,Yellow Gold,40500,Y (No WT),Y,44000,Jake Koden (Moday Watch Club),plus shipping (36mm)
10130,7/15/2025,2023,5980/1R,Nautilus,Black,Rose Gold,Rose Gold,162000,Y,Y,Discontinued,Eli CK (Moda Watch Club),
10131,7/15/2025,2023,5712/1R,Nautilus,Sunburst brown (Rose Gold Case),Rose Gold,Rose Gold,149000,Y,Y,Discontinued,Eli CK (Moda Watch Club),
10132,7/15/2025,2023,5980/1R,Nautilus,Blue,Steel and Rose Gold,Steel and Rose Gold,161000,Y,Y,Discontinued,Eli CK (Moda Watch Club),
